图片,最高分,是否检出,检测框
双色并蒂莲.jpg,0,未检出,-
夜鹭-16.jpg,0,未检出,-
夜鹭-2.jpg,0,未检出,-
旋壁雀.jpg,0,未检出,-
海南鳽.jpg,0,未检出,-
潜鸟.jpg,0,未检出,-
灰喜鹊.jpg,0,未检出,-
猫头鹰.jpg,0,未检出,-
白尾鹞.jpg,0,未检出,-
耗子.jpg,0,未检出,-
苍鹭-2.jpg,0,未检出,-
豪猪.jpg,0,未检出,-
走鹃.jpg,0,未检出,-
鲸头鹳（幼年）.jpg,0,未检出,-
鸊鷉.jpg,0,未检出,-
哈基米.jpg,0.8932,检出,[11,18 270x202]
克苏鲁.jpg,0.8942,检出,[22,56 278x195]
奇美拉.jpg,0.8944,检出,[101,100 136x107]
冥王星.jpg,0.8951,检出,[91,39 190x198]
鸳鸯.jpg,0.8951,检出,[94,61 124x217]
蛇雕.jpg,0.8992,检出,[4,0 263x352]
保龄球.jpg,0.8997,检出,[41,0 127x291]
苍鹭.jpg,0.9001,检出,[12,11 301x220]
白胸翡翠.jpg,0.9002,检出,[15,8 210x298]
喷泉.jpg,0.901,检出,[138,236 104x276]
风筝.jpg,0.9011,检出,[59,28 265x161]
白鹡鸰.jpg,0.9041,检出,[89,91 62x119]
天鹅.jpg,0.9047,检出,[5,27 240x148]
格鲁.jpg,0.9049,检出,[3,53 333x333]
罗非鱼.jpg,0.9086,检出,[5,36 302x200]
夜鹭-15.jpg,0.909,检出,[77,38 157x352]
监控.jpg,0.9132,检出,[94,41 105x286]
尖叫鸡-3.jpg,0.9136,检出,[90,33 139x345]
海鸥.jpg,0.9156,检出,[87,54 85x147]
鹦鹉-2.jpg,0.9157,检出,[43,17 93x195]
胖虎.jpg,0.916,检出,[7,89 299x194]
狗.jpg,0.9161,检出,[36,82 205x129]
雕.jpg,0.9171,检出,[0,19 295x381]
武将.jpg,0.9197,检出,[22,5 272x422]
兀鹫.jpg,0.92,检出,[10,22 241x212]
斑头雁.jpg,0.9205,检出,[80,34 175x214]
唐代帽翅.jpg,0.9215,检出,[51,43 243x430]
迈克尔杰克逊.jpg,0.9221,检出,[40,0 175x289]
蓝灰小菇.jpg,0.9236,检出,[10,24 276x217]
鹭管.jpg,0.9238,检出,[46,13 110x216]
摩登舞者.jpg,0.9241,检出,[13,59 254x201]
矛隼.jpg,0.9266,检出,[20,94 283x119]
猫头鹰-2.jpg,0.929,检出,[16,0 110x266]
金刚狼.jpg,0.9305,检出,[34,9 166x192]
尖叫鸡.jpg,0.9322,检出,[4,9 157x608]
毛毛虫.jpg,0.9323,检出,[1,20 205x244]
海鸥-2.jpg,0.9328,检出,[11,1 305x281]
绿色开花植物.jpg,0.9342,检出,[51,96 90x211]
噪鹃.jpg,0.9346,检出,[56,36 268x212]
哥斯拉.jpg,0.9352,检出,[44,50 215x224]
羚羊.jpg,0.9357,检出,[20,22 125x181]
白眼鸥.jpg,0.9371,检出,[6,18 122x123]
鼠兔.jpg,0.9371,检出,[0,16 202x195]
鸽子.jpg,0.9376,检出,[33,13 149x208]
孔雀.jpg,0.9378,检出,[0,56 278x221]
鹦鹉.jpg,0.9379,检出,[7,7 285x262]
圣母怜子像.jpg,0.9383,检出,[0,63 256x346]
吉娃娃.jpg,0.9395,检出,[0,29 298x287]
夜鹭-13.jpg,0.9399,检出,[23,24 254x290]
傻咕咕.jpg,0.9425,检出,[52,8 203x393]
玛丽莲梦鹭.jpg,0.9427,检出,[59,24 143x264]
蝙蝠.jpg,0.9435,检出,[44,0 128x312]
铁傀儡.jpg,0.9438,检出,[34,82 259x279]
出水芙蓉.jpg,0.9467,检出,[11,32 305x260]
精灵球.jpg,0.9481,检出,[1,4 345x330]
伪人.jpg,0.9532,检出,[0,2 261x309]
鹗.jpg,0.9532,检出,[46,29 142x234]
金刚狼-2.jpg,0.9542,检出,[41,16 178x196]
请输入文本.jpg,0.9552,检出,[0,23 256x385]
领角鸮.jpg,0.9559,检出,[0,86 294x250]
蟑螂.jpg,0.9562,检出,[23,51 168x261]
钓鱼佬.jpg,0.9577,检出,[101,125 68x52]
巨神兵.jpg,0.9582,检出,[69,30 204x346]
翻车鱼.jpg,0.9596,检出,[48,38 196x270]
最后的晚餐.jpg,0.961,检出,[500,125 113x151]
蟑螂-2.jpg,0.9611,检出,[31,0 154x263]
香蕉（花）.jpg,0.9615,检出,[46,0 146x330]
一小天鹅.jpg,0.9616,检出,[42,25 207x366]
女巫.jpg,0.9659,检出,[0,0 253x353]
半蹼鹬.jpg,0.9661,检出,[44,0 236x334]
小蓝企鹅.jpg,0.9662,检出,[9,0 165x265]
西瓜子.jpg,0.967,检出,[21,34 150x345]
红耳鹎.jpg,0.9681,检出,[32,29 239x252]
杀手47.jpg,0.9682,检出,[22,0 262x379]
沙槌.jpg,0.9684,检出,[38,36 124x293]
高达.jpg,0.9697,检出,[0,14 277x288]
芭蕾舞者.jpg,0.9723,检出,[9,2 266x331]
